pi0_s1,pi0_s2,pi1_s1,D_ts,phi,ny,x1,sty_ts,D_os,x_os,sty_os,pi0_ratio,pi1_ratio,TS_adv,errors
0.02,2.0,0.006782945736434109,0.1,0.6299999999999999,0.7099999999999999,20.59055780244827,18.5485371174086,0.16,21.920780961395565,0.46220561406973587,0.01,0.14,39.13048858080305,
0.02,2.0,0.25595238095238093,0.1,0.6499999999999999,0.7099999999999999,19.10040406480274,18.0582268987288,0.24,18.414841506919643,1.499494236992028,0.01,0.86,11.042878494120417,
0.02,2.0,0.04003267973856209,0.1,0.6299999999999999,0.7099999999999999,20.429550956771116,18.446292210727975,0.2,21.017379896264867,0.5886240055914703,0.01,0.49,30.337988317674004,
0.02,2.0,0.057539682539682536,0.1,0.6299999999999999,0.7099999999999999,20.343316343454887,18.3908665573918,0.21,20.611750075278657,0.6612936482485235,0.01,0.58,26.810438836213123,
0.02,2.0,0.005149812734082397,0.1,0.6299999999999999,0.7099999999999999,20.59836377230461,18.553449636694577,0.15,22.000382262179905,0.4570023225528662,0.01,0.11,39.59815174035206,
0.02,2.0,0.21874999999999997,0.1,0.6499999999999999,0.7099999999999999,19.282257227964294,18.183530108293347,0.24,18.56366336141766,1.3458655937027804,0.01,0.84,12.510658265857252,
0.02,2.0,0.031432748538011694,0.1,0.6299999999999999,0.7099999999999999,20.471559059251714,18.47313085113994,0.2,21.06806050851174,0.5538066197997676,0.01,0.43,32.35664506469608,
0.02,2.0,0.08088235294117647,0.1,0.6299999999999999,0.7099999999999999,20.226973636380745,18.31543539109436,0.22,20.116478491765463,0.7602845547623125,0.01,0.66,23.090237367534463,
0.02,2.0,0.03409090909090909,0.1,0.6299999999999999,0.7099999999999999,20.45860062170352,18.46486349429891,0.2,21.052408045410687,0.5645873066723776,0.01,0.45,31.705063107296922,
0.02,2.0,0.092741935483871,0.1,0.6299999999999999,0.7099999999999999,20.16732922164458,18.276495731338784,0.22,20.058801638828072,0.8104402920203924,0.01,0.6900000000000001,21.551316748796232,
0.02,2.0,0.0017361111111111114,0.1,0.6299999999999999,0.7099999999999999,20.61464758358205,18.563683411336726,0.14,22.06161427083276,0.44659448332970486,0.01,0.04,40.56720269567642,
0.02,2.0,0.13194444444444445,0.1,0.6499999999999999,0.7299999999999999,18.85397167549652,18.155929560283028,0.23,19.43506842791972,0.9785017090445693,0.01,0.76,17.554826621622233,
0.02,2.0,0.011075949367088606,0.1,0.6299999999999999,0.7099999999999999,20.56999051636322,18.5355728878602,0.17,21.78607471975819,0.4767427426807845,0.01,0.21,37.87961206002286,
0.02,2.0,0.013157894736842106,0.1,0.6299999999999999,0.7099999999999999,20.559991530052677,18.529259524533018,0.17,21.77123853981655,0.4841235938459207,0.01,0.24,37.27382048731594,
0.02,2.0,0.1776315789473685,0.1,0.6499999999999999,0.7299999999999999,18.68234843188246,18.046140721664628,0.24,18.724627070989868,1.1727529586567345,0.01,0.81,14.387844974899565,
0.02,2.0,0.06249999999999999,0.1,0.6299999999999999,0.7099999999999999,20.318718051724236,18.37497868610116,0.22,20.20511253319571,0.6819225479953551,0.01,0.6,25.945844128659488,
0.02,2.0,0.00042087542087542097,0.1,0.6299999999999999,0.7099999999999999,20.620909464650005,18.567613648509695,0.13,22.076777329291495,0.442743451069335,0.01,0.01,40.93763590102646,
0.02,2.0,0.019607843137254905,0.1,0.6299999999999999,0.7099999999999999,20.528914225441543,18.509593615571927,0.18,21.582568944318684,0.5078251516310279,0.01,0.32,35.4487531901935,
0.02,2.0,0.002192982456140351,0.1,0.6299999999999999,0.7099999999999999,20.612470838966644,18.562316518981998,0.14,22.058066449899762,0.44793354238173644,0.01,0.05,40.439889543174424,
0.02,2.0,0.027777777777777783,0.1,0.6299999999999999,0.7099999999999999,20.489338274870207,18.484456524674147,0.19,21.337862662594883,0.5393737506378151,0.01,0.4,33.27021893967974,
0.02,2.0,0.02895480225988701,0.1,0.6299999999999999,0.7099999999999999,20.483617691828496,18.480814613011912,0.19,21.33036283640125,0.5439543799593569,0.01,0.41000000000000003,32.97493483624998,
0.02,2.0,0.125,0.1,0.6499999999999999,0.7299999999999999,18.87953336546123,18.17202285259057,0.23,19.465332715871575,0.9489349698987392,0.01,0.75,18.14991377599848,
0.02,2.0,0.0234375,0.1,0.6299999999999999,0.7099999999999999,20.510391915411585,18.497841756199183,0.19,21.365512060472266,0.5224535371037359,0.01,0.36,34.40571637957222,
0.02,2.0,0.13949275362318841,0.1,0.6499999999999999,0.7299999999999999,18.826024003576475,18.138253414335665,0.23,19.402028304789425,1.0105223075411158,0.01,0.77,16.949384470760595,
0.02,2.0,0.030172413793103443,0.1,0.6299999999999999,0.7099999999999999,20.47769491102891,18.477041771406643,0.19,21.322603703995807,0.5486894142795473,0.01,0.42,32.6748646694192,
0.02,2.0,0.07094594594594594,0.1,0.6299999999999999,0.7099999999999999,20.276676657025185,18.34774818636805,0.22,20.164509154675525,0.7180200219266216,0.01,0.63,24.553254263212047,
0.02,2.0,0.05303030303030304,0.1,0.6299999999999999,0.7099999999999999,20.365616734354113,18.40524098170221,0.21,20.636008775759688,0.6425302732452449,0.01,0.56,27.644939776521912,
0.02,2.0,0.04698581560283689,0.1,0.6299999999999999,0.7099999999999999,20.395413757287756,18.42440314150833,0.21,20.668451290214577,0.6173050744391217,0.01,0.53,28.84651172396175,
0.02,2.0,0.04166666666666667,0.1,0.6299999999999999,0.7099999999999999,20.421542378137197,18.44116330601733,0.2,21.007737826055312,0.5952192384049004,0.01,0.5,29.982135852054988,
0.02,2.0,0.012445887445887446,0.1,0.6299999999999999,0.7099999999999999,20.563412890538757,18.531420551748443,0.17,21.776311600676276,0.48160057095218595,0.01,0.23,37.47881765403528,
0.02,2.0,0.1666666666666667,0.1,0.6499999999999999,0.7299999999999999,18.72406162658076,18.073088417363298,0.24,18.766846433660938,1.1260107860196562,0.01,0.8,15.050546443919949,
0.02,2.0,0.08854166666666669,0.1,0.6299999999999999,0.7099999999999999,20.18849172730846,18.29033188168492,0.22,20.079270910307162,0.7927128828131681,0.01,0.68,22.07308519671896,
0.02,2.0,0.0451388888888889,0.1,0.6299999999999999,0.7099999999999999,20.404496182050025,18.43023364833554,0.21,20.67834669381089,0.6095804285779669,0.01,0.52,29.23429359654756,
0.02,2.0,0.0,0.1,0.6299999999999999,0.7099999999999999,20.622911849647124,18.568869829422262,0.13,22.080089334159055,0.4416017866831811,0.01,0.0,41.048901044741804,
0.02,2.0,0.14772727272727276,0.1,0.6499999999999999,0.7299999999999999,18.795345978453117,18.11875623992421,0.23,19.36581939048792,1.0453141148274732,0.01,0.78,16.333312525790078,
0.02,2.0,0.00977366255144033,0.1,0.6299999999999999,0.7099999999999999,20.576236887313918,18.539513320680097,0.16,21.898652618230646,0.47221785892810114,0.01,0.19,38.26050861939739,
0.02,2.0,0.33712121212121215,0.1,0.6499999999999999,0.7099999999999999,18.700968892095265,17.779251971526453,0.25,17.54744131396344,1.8298524976265664,0.01,0.89,8.71622138647091,
